trace_file,trace_action_idx,action_id,action_type,element_xpath,element_label,element_type,element_placeholder,element_role,element_tag,element_text,element_value
547 @ 2023-12-28-00-38-39.json,1,1,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[3]/a[1],,,,,a,CATALOG,
547 @ 2023-12-28-00-38-39.json,3,3,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[3]/div[1]/ul[1]/li/div[1]/ul/li[1]/a/span,,,,,span,Products,
547 @ 2023-12-28-00-38-39.json,5,5,mouseup,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,
547 @ 2023-12-28-00-38-39.json,7,7,keystroke,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,
547 @ 2023-12-28-00-38-39.json,9,9,keypress,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,Phoebe Zipper Sweatshirt
547 @ 2023-12-28-00-38-39.json,11,11,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div/div/div/div[4]/table/tbody[1]/tr[1]/td[15]/a,Edit Phoebe Zipper Sweatshirt,,,,a,Edit,
547 @ 2023-12-28-00-38-39.json,13,13,scroll,,,,,,,,
547 @ 2023-12-28-00-38-39.json,15,15,scroll,,,,,,,,
547 @ 2023-12-28-00-38-39.json,17,17,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div/div/div/div[2]/div[4]/div[2]/fieldset/div[1]/div[1]/button[2]/span,,,,,span,Edit Configurations,
547 @ 2023-12-28-00-38-39.json,19,19,mouseup,/html/body[1]/div[5]/aside[14]/div[2]/div[1]/div/div/div[1]/div[2]/div[1]/div[3]/button,,button,,,button,Next,
547 @ 2023-12-28-00-38-39.json,21,21,mouseup,//*[@id='YCY6IWU'],,checkbox,,,input,,YCY6IWU
547 @ 2023-12-28-00-38-39.json,23,23,mouseup,//*[@id='NO6EEAI'],,checkbox,,,input,,NO6EEAI
547 @ 2023-12-28-00-38-39.json,25,25,mouseup,//*[@id='UGPYGEP'],,checkbox,,,input,,UGPYGEP
547 @ 2023-12-28-00-38-39.json,27,27,mouseup,//*[@id='L0X1AFV'],,checkbox,,,input,,L0X1AFV
547 @ 2023-12-28-00-38-39.json,29,29,mouseup,//*[@id='KD8PVDE'],,checkbox,,,input,,KD8PVDE
547 @ 2023-12-28-00-38-39.json,31,31,mouseup,/html/body[1]/div[6]/aside[14]/div[2]/div[1]/div/div/div[1]/div[3]/div[2]/div/div[2]/div[2]/fieldset[1]/ul/li[11]/div[1]/label[1],,,,,label,White,
547 @ 2023-12-28-00-38-39.json,33,33,mouseup,//*[@id='P4PQG3S'],,checkbox,,,input,,P4PQG3S
547 @ 2023-12-28-00-38-39.json,35,35,mouseup,//*[@id='N683QDV'],,checkbox,,,input,,N683QDV
547 @ 2023-12-28-00-38-39.json,37,37,mouseup,/html/body[1]/div[6]/aside[14]/div[2]/div[1]/div/div/div[1]/div[2]/div[1]/div[3]/button,,button,,,button,Next,
547 @ 2023-12-28-00-38-39.json,39,39,mouseup,/html/body[1]/div[6]/aside[14]/div[2]/div[1]/div/div/div[1]/div[2]/div[1]/div[3]/button,,button,,,button,Next,
547 @ 2023-12-28-00-38-39.json,41,41,mouseup,/html/body[1]/div[6]/aside[14]/div[2]/div[1]/div/div/div[1]/div[2]/div[1]/div[3]/button,,button,,,button,Generate Products,
547 @ 2023-12-28-00-38-39.json,43,43,scroll,,,,,,,,
547 @ 2023-12-28-00-38-39.json,45,45,mouseup,//*[@id='save-button'],,,,,button,Save,
547 @ 2023-12-28-00-38-39.json,47,47,scroll,,,,,,,,
547 @ 2023-12-28-14-24-32.json,1,1,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[3]/a[1],,,,,a,CATALOG,
547 @ 2023-12-28-14-24-32.json,3,3,mouseup,/html/body[1]/div[1]/nav[1]/ul/li[3]/div[1]/ul[1]/li/div[1]/ul/li[1]/a/span,,,,,span,Products,
547 @ 2023-12-28-14-24-32.json,5,5,mouseup,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,
547 @ 2023-12-28-14-24-32.json,7,7,keystroke,//*[@id='fulltext'],Search by keyword,text,Search by keyword,,input,,
547 @ 2023-12-28-14-24-32.json,9,9,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div/div/div/div[2]/div[1]/div[5]/button[1],Search,button,,,button,,
547 @ 2023-12-28-14-24-32.json,11,11,scroll,,,,,,,,
547 @ 2023-12-28-14-24-32.json,13,13,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div/div/div/div[4]/table/tbody[1]/tr[16]/td[15]/a,Edit Phoebe Zipper Sweatshirt,,,,a,Edit,
547 @ 2023-12-28-14-24-32.json,15,15,scroll,,,,,,,,
547 @ 2023-12-28-14-24-32.json,17,17,mouseup,/html/body[1]/div[2]/main[1]/div[2]/div/div/div/div[2]/div[4]/div[2]/fieldset/div[1]/div[1]/button[2]/span,,,,,span,Edit Configurations,
